superficie,chambres,salles_de_bain,etages,proximite_route_principale,chambre_amis,sous_sol,chauffage_eau_chaude,climatisation,places_parking,zone_preferee,statut_meublement
6480.0,3,2,4,1,0,0,0,1,2,0,0
4560.0,3,3,2,1,1,1,0,1,1,0,2
3630.0,3,3,2,1,1,0,0,0,0,0,0
6862.0,3,1,2,1,0,0,0,1,2,1,2
6000.0,2,1,1,1,0,0,0,0,0,0,1
5170.0,3,1,4,1,0,0,0,1,0,0,1
5461.908505154639,2,1,1,1,0,0,0,0,0,0,0
6000.0,3,2,2,1,1,0,0,0,1,0,1
2430.0,3,1,1,0,0,0,0,0,0,0,0
4000.0,3,1,2,1,0,0,0,0,1,0,0
3649.0,2,1,1,1,0,0,0,0,0,0,0
7700.0,2,1,1,1,0,0,0,0,0,0,0
3850.0,3,1,2,1,0,0,0,0,0,0,0
5461.908505154639,4,2,2,0,0,0,0,1,0,0,1
4000.0,3,1,1,1,0,0,0,0,0,0,1
5450.0,4,2,1,1,0,1,0,1,0,1,1
4700.0,4,1,2,1,1,1,0,1,1,0,2
6930.0,4,1,2,0,0,0,0,0,1,0,2
3180.0,2,2,1,1,0,1,0,0,2,0,1
4260.0,4,1,2,1,0,1,0,1,0,0,2
4352.0,4,1,2,0,0,0,0,0,1,0,0
6100.0,3,1,3,1,1,0,0,1,0,1,1
3970.0,3,1,2,1,0,1,0,0,0,0,0
3264.0,3,1,1,1,0,0,0,0,0,0,0
7476.0,3,2,4,1,0,0,0,1,2,0,0
6750.0,2,1,1,1,1,1,0,0,2,1,2
3060.0,3,1,1,1,0,0,0,0,0,0,0
3850.0,2,1,1,1,0,0,0,0,0,0,1
6001.0,4,2,2,1,0,1,0,0,2,0,1
3264.0,2,1,1,1,0,0,0,0,0,0,0
4500.0,2,1,1,0,0,0,0,0,0,0,1
3660.0,3,1,2,0,0,0,0,0,0,0,0
7800.0,3,1,1,1,0,1,0,1,2,1,0
3745.0,3,1,2,1,0,1,0,0,0,0,2
5150.0,3,2,4,1,0,0,0,1,2,0,1
8500.0,3,2,4,1,0,0,0,1,2,0,2
5900.0,4,2,2,0,0,1,0,0,1,0,0
8372.0,3,1,3,1,0,0,0,1,2,0,0
8250.0,3,2,3,1,0,0,0,1,0,0,2
3630.0,3,2,2,1,0,0,1,0,2,0,1
6360.0,3,1,3,1,0,0,0,0,0,1,1
3480.0,4,1,2,0,0,0,0,0,1,0,1
3500.0,2,1,1,0,0,1,0,0,0,0,1
6000.0,4,1,3,1,1,1,0,0,0,1,0
5948.0,3,1,2,1,0,0,0,1,0,0,1
4400.0,2,1,1,1,0,0,0,0,1,0,1
3090.0,3,1,2,0,0,0,0,0,0,0,1
7770.0,2,1,1,1,0,0,0,0,1,0,2
3300.0,3,1,2,0,0,0,0,0,1,0,1
8000.0,3,1,1,1,1,1,0,1,2,1,1
4500.0,2,1,1,0,0,0,0,0,0,0,2
6600.0,3,2,2,1,1,1,0,1,1,1,0
8080.0,3,1,1,1,0,0,0,1,2,0,1
6361.0,3,2,4,1,0,0,0,1,0,1,2
6001.0,4,2,4,1,1,0,0,1,1,0,2
3510.0,3,1,2,1,0,0,0,0,0,0,1
5501.0,4,2,2,1,0,1,0,1,1,1,1
7483.0,3,2,3,1,0,0,1,0,1,1,2
4000.0,3,1,2,1,0,0,0,1,0,0,0
6001.0,3,2,4,1,1,0,0,1,1,0,2
3635.0,2,1,1,0,0,0,0,0,0,0,0
6100.0,3,1,1,1,0,1,0,1,0,1,1
4350.0,3,1,2,0,0,0,1,0,1,0,0
10500.0,2,1,1,1,0,0,0,0,1,0,1
7350.0,2,1,1,1,0,0,0,0,1,0,1
6001.0,3,2,4,1,0,0,0,1,1,0,2
6540.0,4,3,2,1,1,1,0,1,2,1,2
4240.0,3,1,2,1,0,0,0,1,0,0,1
2747.0,4,2,2,0,0,0,0,0,0,0,1
8050.0,2,1,1,1,0,0,0,0,0,0,0
2684.0,2,1,1,1,0,0,0,1,1,0,0
3520.0,2,1,2,1,0,0,0,0,0,1,2
7500.0,3,3,1,1,0,1,0,1,2,1,1
4840.0,2,1,2,1,0,0,0,0,0,0,0
4100.0,3,2,3,1,0,0,0,1,2,0,1
3180.0,3,1,1,0,0,0,0,0,0,0,0
4600.0,3,2,2,1,0,0,0,1,1,0,1
5500.0,3,2,2,1,0,0,0,0,1,0,1
3850.0,3,1,1,1,0,0,0,0,2,0,0
6600.0,4,2,1,1,0,1,0,0,0,1,1
3180.0,4,2,2,1,0,0,0,0,0,0,2
5461.908505154639,4,1,4,1,1,0,0,1,1,0,2
5960.0,3,3,2,1,1,1,0,0,1,0,0
5961.0,3,3,2,1,1,1,0,0,1,0,0
8520.0,3,1,1,1,0,0,0,1,2,0,2
3000.0,3,1,2,1,0,1,0,1,0,0,1
7951.0,5,3,2,1,0,1,1,0,2,0,0
7020.0,3,1,1,1,0,1,0,1,2,1,1
4100.0,4,1,1,0,0,1,0,0,0,0,0
4095.0,2,1,1,1,0,0,0,0,2,0,1
9000.0,3,1,2,1,0,0,0,0,2,0,1
7951.0,5,3,2,1,0,1,1,0,0,0,0
4600.0,4,1,2,1,0,0,0,0,0,0,1
6551.0,4,3,2,1,0,0,0,1,1,1,1
5020.0,3,1,4,1,0,0,0,1,0,1,0
3880.0,3,2,2,1,0,1,0,0,2,0,1
4080.0,2,1,1,1,0,0,0,0,0,0,1
3990.0,3,1,2,1,0,0,0,0,0,0,1
3180.0,4,1,2,1,0,1,0,1,0,0,0
6420.0,3,2,3,1,0,0,0,1,0,1,1
6440.0,2,1,1,1,0,0,0,1,3,0,1
3970.0,1,1,1,0,0,0,0,0,0,0,0
5000.0,3,1,3,1,0,0,0,1,0,0,1
7320.0,4,2,2,1,0,0,0,0,0,0,2
6001.0,3,2,3,1,0,0,0,1,0,0,1
6900.0,3,2,1,1,1,1,0,0,0,1,0
7440.0,3,2,4,1,0,0,0,0,1,0,0
4350.0,2,1,1,1,0,1,0,0,0,0,0
6000.0,4,2,4,1,0,0,0,0,2,0,1
3640.0,3,1,2,1,0,0,0,1,0,0,2
6050.0,3,1,1,1,0,1,0,0,0,1,1
2400.0,3,1,2,1,0,0,0,0,0,0,0
6210.0,4,1,4,1,1,0,0,1,0,0,2
6000.0,3,2,4,1,0,0,0,1,0,0,1
3420.0,4,2,2,1,0,0,0,0,0,0,1
5850.0,2,1,1,1,1,1,0,0,2,0,1
7000.0,3,2,4,1,0,0,0,1,2,0,1
4820.0,3,1,2,1,0,0,0,0,0,0,1
4040.0,2,1,2,1,0,0,0,0,1,0,1
6541.0,4,2,2,1,1,1,0,1,2,1,2
5885.0,2,1,1,1,0,0,0,1,1,0,0
7441.0,3,2,1,1,1,1,0,1,0,1,1
5600.0,2,1,1,1,0,0,0,1,0,0,1
5600.0,3,1,1,1,0,0,0,1,0,0,1
5830.0,2,1,1,1,0,0,0,0,2,0,1
4000.0,2,1,1,1,0,0,0,0,0,0,0
7482.0,3,3,3,1,0,0,1,0,1,1,2
9001.0,4,2,4,1,1,0,0,1,1,1,2
3660.0,4,1,2,0,0,0,0,0,0,0,0
4500.0,2,1,1,1,0,0,0,1,2,0,2
4500.0,4,2,1,0,0,1,0,1,2,0,1
3480.0,3,1,1,0,0,0,0,1,0,0,0
4900.0,3,1,2,0,0,0,0,0,0,0,0
6551.0,3,1,2,1,0,1,0,1,0,1,2
4500.0,3,2,3,1,0,0,1,0,1,0,2
6001.0,4,2,4,1,0,0,0,0,2,0,1
4800.0,5,2,3,0,0,1,1,0,0,0,0
8800.0,3,3,2,1,0,0,0,1,2,0,2
6615.0,4,2,2,1,1,0,1,0,1,0,1
5400.0,3,1,1,1,0,0,0,0,3,0,1
3500.0,4,3,2,1,0,0,1,0,2,0,2
6670.0,3,1,3,1,0,1,0,0,0,1,0
4920.0,3,1,2,1,0,0,0,0,1,0,1
6100.0,3,1,1,1,0,1,0,0,0,1,1
3120.0,3,1,2,0,0,0,0,0,0,0,2
4040.0,2,1,1,1,0,0,0,0,0,0,0
6000.0,4,1,2,1,0,1,0,0,2,0,1
4040.0,3,1,2,1,0,1,1,0,1,0,2
7680.0,4,2,4,1,1,0,0,1,1,0,1
6550.0,4,3,2,1,0,0,0,1,1,1,1
8501.0,3,2,4,1,0,0,0,1,2,0,2
3760.0,3,1,1,1,0,0,0,0,2,0,1
4880.0,4,2,2,1,0,0,0,1,1,1,2
4800.0,3,2,4,1,1,0,0,1,0,0,2
8400.0,4,1,4,1,0,0,0,0,3,0,0
3640.0,2,1,1,1,0,0,0,0,0,0,0
6000.0,3,1,2,1,0,0,1,0,1,1,1
6040.0,3,1,1,1,0,0,0,0,2,1,1
8400.0,4,1,2,1,0,0,0,0,3,0,0
6000.0,4,2,4,1,0,0,0,0,1,0,1
6420.0,3,1,1,1,0,1,0,1,0,1,2
6001.0,3,2,2,1,1,0,0,1,1,0,1
2610.0,3,1,2,1,0,1,0,0,0,1,0
3240.0,3,1,2,1,0,0,0,0,2,0,1
4400.0,3,1,2,1,0,0,0,0,0,0,0
7000.0,3,1,1,1,0,1,0,0,2,1,1
2800.0,3,1,1,1,0,0,0,0,0,0,0
6000.0,3,1,4,1,1,0,0,1,2,0,0
2835.0,2,1,1,1,0,0,0,0,0,0,1
8801.0,3,2,2,1,0,0,0,1,2,0,2
3600.0,6,1,2,1,0,0,0,0,1,0,0
6001.0,3,2,2,1,1,0,0,0,1,0,1
10500.0,4,2,2,1,0,0,0,0,1,0,1
4075.0,3,1,1,1,1,1,0,0,2,0,1
3600.0,3,1,2,0,0,0,0,0,1,0,0
3000.0,3,1,2,0,0,0,0,0,0,0,1
3680.0,3,2,2,1,0,0,0,0,0,0,1
5000.0,3,1,2,1,0,0,0,1,0,0,1
6100.0,3,2,1,1,0,1,0,0,2,1,2
3649.0,2,1,2,1,0,0,0,0,0,0,1
2700.0,2,1,1,0,0,0,0,0,0,0,2
3420.0,2,1,2,1,0,0,1,0,1,0,1
3600.0,2,1,1,1,0,0,0,0,0,0,2
4321.0,3,2,2,1,0,1,1,0,2,0,2
4840.0,3,1,2,1,0,0,0,0,1,0,1
6840.0,5,2,2,1,1,1,0,1,1,0,2
5800.0,3,1,1,1,0,0,1,0,2,0,2
4500.0,2,1,1,1,0,0,0,0,0,0,1
3540.0,2,1,1,0,1,1,0,0,0,0,1
3968.0,3,1,2,0,0,0,0,0,0,0,1
7156.0,3,2,1,1,0,1,0,1,2,0,0
4320.0,3,1,2,1,0,0,0,0,2,1,2
6600.0,3,2,1,1,0,1,0,1,0,1,0
5500.0,3,1,3,1,1,0,0,1,1,0,2
4000.0,3,1,1,1,0,0,0,0,0,0,0
9500.0,3,1,2,1,0,0,0,0,3,1,0
6020.0,3,1,1,1,0,0,0,0,0,0,1
4920.0,3,1,2,1,0,0,0,0,1,0,1
7476.0,3,3,4,1,0,0,0,1,2,0,0
5360.0,3,1,2,1,0,0,0,0,2,1,0
3000.0,3,1,2,1,0,0,0,0,0,0,1
3600.0,2,1,1,1,0,0,0,0,0,0,1
4046.0,3,1,2,1,0,1,0,0,1,0,1
6000.0,2,1,1,1,0,1,0,1,1,0,2
3450.0,3,1,2,1,0,0,0,0,1,0,1
8876.0,3,1,1,1,0,0,0,0,1,0,1
5400.0,5,1,2,1,1,1,0,1,0,1,2
3450.0,1,1,1,1,0,0,0,0,0,0,2
3640.0,2,1,1,1,0,0,0,0,1,0,1
3400.0,3,1,2,1,0,1,0,0,2,1,1
6480.0,3,2,4,1,0,0,0,1,2,0,0
3600.0,6,1,2,1,0,0,0,0,1,0,0
6550.0,3,1,2,1,0,1,0,1,0,1,1
6360.0,3,1,1,1,1,0,0,1,2,1,2
5461.908505154639,2,1,1,1,0,0,0,0,0,0,2
8150.0,3,2,1,1,1,1,0,0,0,0,1
4000.0,4,2,2,0,0,0,0,0,0,0,1
3120.0,3,1,2,0,0,0,1,0,0,0,1
3501.0,4,3,2,1,0,0,1,0,2,0,2
4800.0,2,1,1,1,1,0,0,0,0,0,1
5500.0,4,1,2,1,1,1,0,0,0,0,1
7980.0,3,1,1,1,0,0,0,0,2,0,1
3840.0,3,1,2,1,0,0,0,0,1,1,1
9001.0,4,2,4,1,0,0,0,1,2,0,2
8100.0,4,1,4,1,0,1,0,1,2,0,1
6600.0,4,2,2,1,1,1,0,1,1,1,0
3500.0,2,1,1,1,0,0,0,0,0,0,0
3680.0,3,2,2,1,0,0,0,0,0,0,1
4750.0,2,1,1,1,0,0,0,0,0,0,0
3630.0,3,1,2,1,0,0,0,0,2,0,1
5010.0,3,1,2,1,0,1,0,0,0,0,1
6001.0,3,1,2,1,1,0,0,1,2,0,0
4400.0,4,1,2,1,0,0,0,1,2,1,1
4990.0,4,2,2,1,1,1,0,0,0,1,2
6841.0,5,2,2,1,1,1,0,1,1,0,2
6001.0,4,3,2,1,1,1,1,0,2,0,1
5680.0,3,1,2,1,1,0,0,1,1,0,1
3500.0,4,2,2,1,0,0,1,0,2,0,2
5501.0,4,2,2,1,0,1,0,1,1,1,1
3500.0,4,3,2,1,0,0,1,0,2,0,2
5320.0,3,1,2,1,1,1,0,0,0,1,1
5461.908505154639,3,1,4,1,0,0,0,1,1,0,0
5500.0,3,2,1,1,0,1,0,0,0,0,1
4300.0,6,2,2,1,0,0,0,0,0,0,2
3240.0,4,1,3,1,0,0,0,0,1,0,1
5500.0,3,1,2,1,0,0,0,1,0,0,0
6000.0,4,2,4,1,0,0,0,1,0,0,0
3760.0,3,1,2,1,0,0,1,0,2,0,1
6420.0,3,1,3,1,0,1,0,0,0,1,0
6400.0,3,1,1,1,1,1,0,1,1,1,1
3290.0,2,1,1,1,0,0,1,0,1,0,2
5000.0,3,1,4,1,0,0,0,0,0,0,2
8400.0,2,1,1,1,0,0,0,0,1,0,2
5500.0,3,1,3,1,0,0,0,0,1,1,1
2850.0,3,2,2,0,0,1,0,0,0,1,0
3150.0,3,2,1,1,1,1,0,1,0,0,2
4000.0,3,2,2,1,0,1,0,1,1,0,1
3180.0,2,1,1,1,0,0,0,0,0,0,0
7410.0,3,1,1,1,1,1,0,1,2,1,0
6001.0,3,2,4,1,1,1,0,1,0,1,1
5500.0,3,2,1,1,1,1,0,0,2,1,2
2953.0,3,1,2,1,0,1,0,1,0,0,0
4321.0,3,1,2,1,0,1,1,0,2,0,1
7801.0,3,3,2,1,0,0,0,0,0,1,1
2970.0,3,1,3,1,0,0,0,0,0,0,1
3000.0,3,2,2,1,1,1,0,0,0,0,2
3090.0,2,1,1,1,1,1,0,0,0,0,0
5640.0,2,1,1,0,0,0,0,0,0,0,1
3450.0,3,1,2,1,0,1,0,0,0,0,1
3000.0,2,1,2,1,0,0,0,0,0,0,1
6000.0,3,2,4,1,1,0,0,1,2,0,0
6481.0,3,2,4,1,0,0,0,1,2,0,0
5450.0,2,1,1,1,0,0,0,0,0,0,2
3500.0,4,1,2,1,0,0,0,0,2,0,2
6540.0,4,2,2,0,0,0,0,1,0,0,1
3480.0,3,1,2,0,0,0,0,0,1,0,1
2870.0,2,1,2,1,1,1,0,0,0,1,1
4260.0,4,2,2,1,0,0,1,0,0,0,1
3350.0,3,1,2,1,0,0,0,0,0,0,0
6551.0,4,2,2,1,0,0,0,1,1,1,1
5501.0,4,3,2,1,0,1,0,1,1,1,1
6001.0,3,1,4,1,1,0,0,1,2,0,0
4032.0,2,1,1,1,0,1,0,0,0,0,2
3000.0,3,1,2,1,0,1,0,0,0,0,0
3780.0,2,1,2,1,1,1,0,0,0,0,1
3640.0,2,1,2,1,0,0,0,0,0,0,0
6360.0,2,1,1,1,0,1,0,1,1,0,2
3000.0,2,1,1,0,0,0,0,0,0,0,0
6601.0,4,2,2,1,1,1,0,1,1,1,0
4880.0,3,1,1,1,0,0,0,0,2,1,0
3934.0,2,1,1,1,0,0,0,0,0,0,0
6525.0,3,2,4,1,0,0,0,0,1,0,2
6670.0,3,1,3,1,0,1,0,0,0,1,2
3460.0,4,1,2,1,0,0,0,1,0,0,1
5136.0,3,1,2,1,1,1,0,1,0,1,0
8250.0,3,1,1,1,0,0,0,0,2,0,2
6600.0,3,1,4,1,0,0,0,1,3,1,2
5500.0,3,1,3,1,0,0,0,0,1,1,2
5461.908505154639,3,3,2,1,0,0,0,1,2,0,2
7483.0,3,3,3,1,0,0,1,0,1,1,2
6001.0,3,3,4,1,1,1,0,1,0,1,1
2550.0,3,1,2,1,0,1,0,0,0,0,2
7424.0,3,1,1,0,0,0,0,0,0,0,0
3420.0,5,1,2,0,0,0,0,0,0,0,0
9166.0,2,1,1,1,0,1,0,1,2,0,1
6800.0,2,1,1,1,0,0,0,0,0,0,0
9000.0,3,1,1,1,0,1,0,0,1,1,2
3520.0,3,1,2,1,0,0,0,0,0,1,1
6000.0,3,2,3,1,1,0,0,1,0,0,2
3520.0,2,2,1,1,0,1,0,0,0,0,1
4600.0,2,1,1,1,0,0,0,0,0,0,2
6001.0,4,2,4,1,0,0,0,1,1,0,1
3720.0,2,1,1,0,0,0,0,1,0,0,0
3520.0,3,1,1,1,0,0,0,0,0,1,1
4960.0,2,1,1,1,0,1,0,1,0,0,1
3630.0,2,1,1,1,0,1,0,0,0,0,2
9800.0,4,2,2,1,1,0,0,0,2,0,1
6350.0,3,2,3,1,1,0,0,1,0,0,2
4320.0,3,2,2,1,0,1,1,0,2,0,1
8100.0,4,1,2,1,1,1,0,1,2,1,2
6254.0,4,2,1,1,0,1,0,0,1,1,1
6000.0,4,2,4,1,1,0,0,1,1,0,2
9667.0,4,2,2,1,1,1,0,0,1,0,1
2398.0,3,1,1,1,0,0,0,0,0,1,1
3600.0,3,1,1,1,0,1,0,1,0,1,2
7475.0,3,2,4,1,0,0,0,1,2,0,0
7950.0,5,2,2,1,0,1,1,0,2,0,1
4280.0,2,1,1,1,0,0,0,1,2,0,1
3630.0,2,1,1,1,0,0,0,0,0,0,0
6840.0,5,1,2,1,1,1,0,1,1,0,2
6361.0,3,2,3,1,0,0,0,1,2,1,2
7152.0,3,1,2,1,0,0,0,1,0,0,2
6550.0,4,2,2,1,0,0,0,1,1,1,1
5320.0,2,1,1,1,0,0,0,0,1,1,0
3750.0,3,1,2,1,0,0,0,0,0,0,0
5300.0,4,2,1,1,0,0,0,1,0,1,0
4992.0,3,2,2,1,0,0,0,0,2,0,0
6500.0,3,2,3,1,0,0,0,1,0,1,2
6000.0,3,2,2,1,1,0,0,1,1,0,1
2475.0,3,1,2,1,0,0,0,0,0,0,2
3460.0,3,2,1,1,0,1,0,1,1,0,2
4500.0,4,2,2,1,0,1,0,0,2,0,2
4785.0,3,1,2,1,1,1,0,1,1,0,2
5500.0,3,2,2,1,0,1,0,0,0,0,1
2817.0,4,2,2,0,1,1,0,0,1,0,2
5461.908505154639,4,3,2,1,0,0,0,1,1,1,1
2700.0,3,1,1,0,0,0,0,0,0,0,2
